id,group,in_stock,color,isbn,city
96,shoe,true,Teal,354294309-6,Sapeken
97,scarf,false,Puce,340482561-6,Wang Thonglang
98,cat,true,Aquamarine,359585446-2,
99,,true,Crimson,035686159-7,Prínos
100,cat,false,Purple,562247614-3,Sacapulas
101,cat,true,Puce,350049875-2,Rožďalovice
102,cat,false,Mauv,623657728-5,Chengyang
103,,false,Maroon,823586397-9,Jinshan
104,shoe,false,Blue,075658313-6,Chakaray
105,scarf,false,Orange,192260006-7,Huanggang
106,shoe,false,Violet,317735746-3,Dukuh Kaler
107,cat,false,Aquamarine,936163677-4,
108,shoe,false,Crimson,609732447-2,Nikol’skoye
109,scarf,true,Purple,694030251-4,Kilju
110,scarf,false,Khaki,862429621-8,Noisy-le-Grand
111,scarf,true,Crimson,555417772-7,Baishan
112,scarf,false,Khaki,986172721-3,Polo
113,scarf,false,Blue,076458695-5,Xiejia
114,scarf,false,Maroon,983655986-8,Arani
115,shoe,false,Khaki,795333274-4,Kępno
116,cat,false,Crimson,994933240-0,Sidaurip
117,shoe,true,Orange,243508908-2,Lunang
118,,,Yellow,057835390-3,Malvas
119,,true,Blue,796998211-5,
120,shoe,true,Pink,206621362-4,Kopang Satu
121,scarf,true,Fuscia,352780374-2,Governador Valadares
122,shoe,true,Teal,132937947-0,Piran
123,shoe,true,Yellow,505469061-1,Turbaco
124,shoe,true,Mauv,299896757-4,Ayorou
125,shoe,false,Fuscia,632958833-3,Xiantang
126,cat,true,Maroon,964424407-9,Želešice
127,cat,false,Puce,241293111-9,Moriyama
128,scarf,,Orange,685901401-6,Santander
129,cat,true,Yellow,296851300-1,Altos
130,shoe,false,Maroon,331107754-7,Cullhuas
131,scarf,false,Yellow,566159183-7,Bjästa
132,cat,false,Maroon,548379408-7,Nuwara Eliya
133,shoe,false,Violet,522697522-8,Uyo
134,scarf,false,Puce,396026082-2,Moravský Krumlov
135,shoe,true,Indigo,641875250-3,Ntaur Satu
136,cat,true,Teal,538026993-1,Armenia
137,cat,true,Yellow,520449433-2,Täby
138,cat,false,Aquamarine,156880487-3,Bauru
139,scarf,false,Fuscia,185716675-2,Laka
140,cat,false,Blue,040050580-0,Shatoujiao
141,scarf,false,Violet,312195854-2,Sengkerang Tiga
142,scarf,true,Mauv,266179314-3,Atami
143,scarf,false,Teal,046382250-1,Basen
144,cat,true,Red,916436685-5,Kashin
145,shoe,true,Blue,162463352-8,Veliko Tŭrnovo
146,scarf,,Green,667690846-8,Portland
147,shoe,false,Maroon,779728894-1,Adamstown
148,cat,false,Indigo,969304363-4,La Cuesta
149,cat,false,Blue,702467280-3,Maturín
150,scarf,false,Blue,561511190-9,La Mesa
151,shoe,true,Green,195392467-0,Skulsk
152,scarf,false,Crimson,279948595-2,Troyes
153,scarf,false,Purple,310296271-8,Oyonnax
154,shoe,true,Fuscia,188927331-7,
155,cat,true,Purple,334031105-6,Priekulė
156,shoe,false,Yellow,281674796-4,Bern
157,scarf,false,Red,977996212-3,Divichibazar
158,scarf,true,Khaki,566893264-8,Balzers
159,shoe,true,Pink,980663884-0,Taling
160,scarf,true,Goldenrod,898637629-6,Bezhta
161,scarf,false,Teal,156123188-6,Shibīn al Kawm
162,shoe,true,Turquoise,357418826-9,Jiaocun
163,scarf,false,Aquamarine,816599347-X,Paraíso
164,cat,true,Yellow,068911138-X,Kristiansand S
165,,false,Fuscia,633645019-8,Antony
166,scarf,true,Crimson,818842932-5,Montijo
167,cat,true,Yellow,805089835-0,Ipirá
168,cat,false,Pink,940285472-X,Dessalines
169,shoe,false,Crimson,972697890-4,Katsina
170,shoe,true,Goldenrod,759783261-3,Srednebelaya
171,cat,true,Goldenrod,949792032-6,El Congo
172,shoe,false,Yellow,749861374-3,Tianjin
173,scarf,true,Mauv,114256075-9,Saidpur
174,shoe,false,Purple,804825624-X,Rybno
175,scarf,true,Indigo,866063708-9,Gantang
176,shoe,true,Goldenrod,279954938-1,
177,shoe,false,Green,771400641-2,Estância
178,scarf,false,Green,841059059-X,Aktogay
179,shoe,false,Violet,393642531-0,Buynaksk
180,cat,false,Violet,416630803-3,Huangcun
181,shoe,true,Purple,180277623-0,Kaoma
182,shoe,true,Mauv,677968514-3,Kihancha
183,shoe,false,Pink,697005993-6,Bologna
184,,false,Crimson,380938178-0,Masaran
185,shoe,false,Blue,331421914-8,Metchosin
186,shoe,,Green,356527009-8,Vaggeryd
187,shoe,true,Violet,440909888-8,Jawornik Polski
188,scarf,true,Khaki,114525516-7,Vyshneye Dolgoye
189,cat,false,Red,653729937-3,Cogreg Wetan
190,scarf,false,Maroon,623552552-4,Zambujeira do Mar
191,,false,Puce,586614145-0,Aniva
192,shoe,true,Teal,201812686-5,San Roque
193,scarf,true,Red,183503194-3,Heung-hai
194,,false,Maroon,596397225-6,Mompach
195,cat,false,Yellow,916532788-8,Sindangjawa
196,shoe,true,Khaki,909366358-5,Banag
197,shoe,,Puce,581644340-2,Phatthana Nikhom
198,,false,Purple,482223096-1,
199,cat,false,Yellow,466042287-9,Yahotyn
200,cat,false,Orange,223510405-3,København
